name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
morocco,2023-02-18,77,48.2,60.9,77,48.2,60.9,50.1,72.3,0,0,0,rain,0,0,15.9,9.2,73.9,1018.4,70.4,3,125.2,10.8,5,10,2023-02-18T08:09:18,2023-02-18T19:13:47,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-19,74.7,53.6,62.1,74.7,53.6,62.1,53,74.9,0,0,0,,0,0,14.5,10,353.5,1017.4,38.4,3,120.5,10.4,4,10,2023-02-19T08:08:13,2023-02-19T19:14:42,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-20,78.1,48.2,60.8,78.1,46.3,60.7,49.4,71.5,0,0,0,,0,0,20.6,10.2,161.3,1016.9,20.2,3.1,138.5,12,5,10,2023-02-20T08:07:07,2023-02-20T19:15:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-21,68,44.6,55.9,68,44.6,55.8,53.9,93.7,0,0,0,,0,0,19.2,10.3,1.8,1018,34.5,2.9,162.1,14.1,6,10,2023-02-21T08:05:59,2023-02-21T19:16:30,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-22,66.3,48.2,57.8,66.3,48.2,57.8,54.4,89.7,0,0,0,,0,0,17.7,11.4,13.6,1018.1,66.6,2.4,172.8,15,6,10,2023-02-22T08:04:51,2023-02-22T19:17:24,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-23,64.4,44.6,54.3,64.4,44.6,54.3,48.6,82.8,0,0,0,rain,0,0,21.5,16.1,17.9,1013.6,78.7,2.5,135.6,11.8,5,10,2023-02-23T08:03:42,2023-02-23T19:18:17,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-24,60.5,43,53.7,60.5,41.4,53.6,44.2,72.6,0.004,100,4.17,rain,0,0,23,11.4,333.4,1011.5,77.7,3.1,118.4,10.2,6,10,2023-02-24T08:02:32,2023-02-24T19:19:10,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-25,60.8,44.6,52.5,60.8,40.7,50.8,49.2,89.1,0.696,100,12.5,rain,0,0,33.2,19.7,245.1,1012.3,90.7,3.1,101.4,8.7,5,10,2023-02-25T08:01:21,2023-02-25T19:20:02,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-26,62.6,51.8,55.8,62.6,51.8,55.8,54,93.8,1.016,100,16.67,rain,0,0,32.4,13.9,236.9,1010.9,89.1,3.1,76.7,6.6,4,10,2023-02-26T08:00:10,2023-02-26T19:20:55,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-27,62.6,48.2,56,62.6,48.2,56,51.4,85.6,0.008,100,4.17,rain,0,0,26.4,12.8,274.1,1016.6,82.1,3.3,126.5,10.9,6,10,2023-02-27T07:58:57,2023-02-27T19:21:46,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-02-28,60.8,51.8,56.8,60.8,51.8,56.8,53.4,88.7,0.28,100,8.33,rain,0,0,23.9,15,249.6,1019.8,78.5,3.2,104.7,9.1,4,10,2023-02-28T07:57:44,2023-02-28T19:22:38,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-01,62.6,51.8,57.2,62.6,51.8,57.2,47.8,71.4,0,0,0,rain,0,0,20.8,13.4,289.7,1018.7,56.3,3.1,156.5,13.4,7,10,2023-03-01T07:56:30,2023-03-01T19:23:29,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-02,59,53.6,55.9,59,53.6,55.9,53,90.4,0.039,100,4.17,rain,0,0,12.8,9.2,243.8,1018.7,92.3,2.7,91.5,7.9,6,10,2023-03-02T07:55:16,2023-03-02T19:24:20,0.33,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-03,64.1,46.4,56.8,64.1,46.4,56.8,51.4,83.9,0,0,0,,0,0,19,10.3,38.3,1017.8,70.1,3.1,93.8,8.1,4,10,2023-03-03T07:54:01,2023-03-03T19:25:10,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60135099999,F3955,GMME"
morocco,2023-03-04,62.6,39.2,51.3,62.6,39.2,51.3,43.8,79.1,0,0,0,,0,0,16.8,11.4,12.9,1017.9,37.4,3.1,196.8,17.1,7,10,2023-03-04T07:52:45,2023-03-04T19:26:01,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-05,64.4,42.6,53.6,64.4,41.1,53.4,48.1,84.2,0,0,0,,0,0,18.3,6.9,294.8,1016.9,12,3.3,186.3,16,7,10,2023-03-05T07:51:28,2023-03-05T19:26:50,0.43,Clear,Clear conditions throughout the day.,clear-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-06,68,46.4,59,68,45.2,59,51.6,78,0,0,0,,0,0,19.7,10.3,244.9,1016.1,35.8,3.3,209.1,18,8,10,2023-03-06T07:50:11,2023-03-06T19:27:40,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-07,69.8,53.6,61.6,69.8,53.6,61.6,57.9,88.7,0,0,0,,0,0,17.7,9.2,249,1016.9,54.4,3.7,180.9,15.5,6,10,2023-03-07T07:48:54,2023-03-07T19:28:29,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-08,66.2,50,57.1,66.2,50,57.1,55.3,94.1,0,0,0,,0,0,15.9,8,358.8,1017.6,45.4,2.8,207.2,17.8,7,10,2023-03-08T07:47:36,2023-03-08T19:29:18,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-09,71.6,46.2,58.7,71.6,46.2,58.7,55.4,89.9,0,0,0,,0,0,14.5,9.2,5.5,1020.8,60.5,2.6,159.5,13.9,6,10,2023-03-09T07:46:17,2023-03-09T19:30:07,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-10,71.5,50,59.8,71.5,50,59.8,56.6,90.2,0.004,100,4.17,rain,0,0,22.4,13.9,39.6,1023.5,37.2,3.5,221.9,18.9,7,10,2023-03-10T07:44:58,2023-03-10T19:30:55,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-11,68,46.8,57.9,68,46.8,57.8,55.5,92.6,0,0,0,,0,0,20.4,13.9,23.3,1023.9,37.2,3.2,225.3,19.4,8,10,2023-03-11T07:43:39,2023-03-11T19:31:44,0.64,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-12,78.8,48.2,60.1,78.8,48.2,60.1,55.6,87.1,0.008,100,4.17,rain,0,0,15.4,10.3,24.4,1019.5,17.8,4.3,233.1,20,8,10,2023-03-12T07:42:19,2023-03-12T19:32:32,0.67,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-13,69.8,46.4,58.3,69.8,46.4,58.3,54.5,88.6,0,0,0,,0,0,20.6,13.9,330,1020.1,44.9,3,191.4,16.6,8,10,2023-03-13T07:40:59,2023-03-13T19:33:19,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
morocco,2023-03-14,69.7,48.2,59.5,69.7,48.2,59.5,53.5,82.1,0,0,0,,0,0,27.7,17.2,48.3,1020.7,46.1,3.4,224.7,19.5,8,10,2023-03-14T07:39:39,2023-03-14T19:34:07,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60146099999,60120099999,60135099999,F3955,GMME"
